date,portfolio_value,benchmark_value,portfolio_return,benchmark_return
2023-05-16,1000000.0,1000000.0,,
2023-05-17,1000000.0,994188.452353095,0.0,-0.0058115476469049465
2023-05-18,1000000.0,990282.0410466765,0.0,-0.003929246308557177
2023-05-19,1000000.0,994389.440150587,0.0,0.0041477063439110395
2023-05-22,1000000.0,1001026.8766603807,0.0,0.006674886359200105
2023-05-23,1000000.0,1003168.7032856611,0.0,0.0021396294896955936
2023-05-24,1000000.0,1000426.7092458259,0.0,-0.0027333329188344857
2023-05-25,1000000.0,1002827.271366433,0.0,0.0023995382154649025
2023-05-26,1000000.0,1012707.7196520255,0.0,0.009852592333403187
2023-05-29,1000000.0,1018059.4364684991,0.0,0.005284562083038624
2023-05-30,1000000.0,1019529.4756293963,0.0,0.0014439620205246584
2023-05-31,1000000.0,1015199.1510550731,0.0,-0.004247375556895805
2023-06-01,1000000.0,1013404.1332296384,0.0,-0.0017681435446130767
2023-06-02,1000000.0,1016228.7161557626,0.0,0.002787222622748109
2023-06-05,1000000.0,1019358.8134385883,0.0,0.0030801110351086347
2023-06-06,1000000.0,1020129.643043951,0.0,0.0007561906516140304
2023-06-07,1000000.0,1027386.4962009111,0.0,0.007113657765405623
2023-06-08,1000000.0,1022062.201475588,0.0,-0.005182367828476808
2023-06-09,1000000.0,1018711.8671626587,0.0,-0.003278014105298377
2023-06-12,1000000.0,1021118.0212391086,0.0,0.002361957442541307
2023-06-13,1000000.0,1027846.2194937301,0.0,0.006589050545261044
2023-06-14,1000000.0,1029897.1768365704,0.0,0.001995393186201122
2023-06-15,1000000.0,1027053.3446778345,0.0,-0.002761277749562252
2023-06-16,1000000.0,1035034.2485787829,0.0,0.007770680989751089
2023-06-19,1000000.0,1031414.1023964543,0.0,-0.003497610042662247
2023-06-20,1000000.0,1034816.6999889881,0.0,0.003298963611829686
2023-06-21,1000000.0,1036644.7318614158,0.0,0.0017665272240456886
2023-06-22,1000000.0,1030857.9178653525,0.0,-0.005582253802295822
2023-06-23,1000000.0,1023868.188137483,0.0,-0.006780497687153164
2023-06-26,1000000.0,1025905.3806659417,0.0,0.001989701948025724
2023-06-27,1000000.0,1032432.6986606836,0.0,0.006362495136251978
2023-06-28,1000000.0,1040685.9953337279,0.0,0.007994028747589033
2023-06-30,1000000.0,1051607.0850940824,0.0,0.010494125806749466
2023-07-03,1000000.0,1058450.886281986,0.0,0.006507945110783675
2023-07-04,994144.6236964943,1061022.2181310137,-0.005855376303505744,0.0024293350616011455
2023-07-05,1003256.3673250168,1062530.7557571335,0.009165410556305709,0.0014217776030902574
2023-07-06,1009832.2963163918,1067989.9026483505,0.006554584855422707,0.0051378718796022405
2023-07-07,1001045.550347226,1058987.7140428636,-0.008701193258739748,-0.008429095240660711
2023-07-10,995288.8633567207,1059329.1459620916,-0.005750674370920028,0.00032241348478412313
2023-07-11,1009266.0955391536,1064493.6397954547,0.014043392523546583,0.004875249447302332
2023-07-12,1008859.734760616,1062296.7539126484,-0.0004026299707615699,-0.0020637848838893635
2023-07-13,1001621.7927010375,1062910.686141585,-0.0071743789648774925,0.0005779291207239634
2023-07-14,1005519.3281925343,1071122.7959090972,0.0038912247316289506,0.007726058148236792
2023-07-17,1006862.4537497371,1078324.5898085313,0.0013357530974738019,0.006723593155649077
2023-07-18,1006051.1918279506,1079483.5226568845,-0.0008057326189542247,0.001074753241562476
2023-07-19,1015566.8507062634,1084155.2791504357,0.009458424139454857,0.004327770082171112
2023-07-20,1012070.3241223033,1090828.5256851437,-0.0034429309912277217,0.0061552497719119525
2023-07-21,1007189.4864348052,1079304.5800699252,-0.004822627016290437,-0.010564397010043636
2023-07-24,1012145.7071764185,1075882.6257071674,0.0049208424118454275,-0.0031705177814922436
2023-07-25,1010523.0586911724,1077339.0075912953,-0.0016031767696499388,0.0013536624249979035
2023-07-26,1020749.0418362486,1082575.121474487,0.010119495104170095,0.004860228624691265
2023-07-27,1023346.2850420009,1077327.9312172225,0.002544448340681349,-0.004846952560777273
2023-07-28,1033694.6645566082,1078096.0723822764,0.010112294993265714,0.0007130058943018991
2023-07-31,1039498.8428025972,1083530.3780850389,0.005614983268273477,0.005040650682229364
2023-08-01,1033981.0049018766,1082456.7225632838,-0.005308171277847662,-0.000990886405651703
2023-08-02,1016051.9464236456,1070742.865524646,-0.017339833510705893,-0.010821547683587007
2023-08-03,1004376.6079969157,1063243.8376646615,-0.011490887319123178,-0.007003574902467391
2023-08-04,1006945.7307420749,1070833.7348070862,0.0025579276983391797,0.007138435111079922
2023-08-07,1003887.0238418725,1074858.545024708,-0.0030376084895342714,0.003758576225978638
2023-08-08,1003799.3144460123,1073515.0776335532,-8.736978741341606e-05,-0.0012499015776292755
2023-08-09,1012783.6424039777,1076670.0161048328,0.00895032286700026,0.002938886036174093
2023-08-10,1010562.5907151093,1071623.8136450604,-0.0021930169444644987,-0.004686860769122614
2023-08-11,1008200.8613765065,1065892.1664441354,-0.002337044098309149,-0.005348562739968643
2023-08-14,1006015.1667923941,1064339.5383969496,-0.002167915807102405,-0.001456646456428512
2023-08-16,1006984.7107385796,1065839.9031645309,0.0009637468481482614,0.0014096674166976797
2023-08-17,1003331.4218517423,1060694.5510261669,-0.003627948714492235,-0.004827509387748785
2023-08-18,999958.2702907827,1057652.5270478602,-0.003361951482326875,-0.0028679547522552085
2023-08-21,1011060.1108305121,1062830.8932332173,0.011102303835640148,0.004896093993942419
2023-08-22,1026038.1174692994,1064044.8853390962,0.014814160383089359,0.0011422250836028436
2023-08-23,1031647.4319050462,1066087.6698233974,0.00546696495991994,0.0019198292407094364
2023-08-24,1032109.38309409,1063929.2824058142,0.00044778009885670933,-0.002024587169215497
2023-08-25,1019625.0168023334,1056801.90453413,-0.012095972090022666,-0.006699108662154174
2023-08-28,1026903.5579861478,1059541.1025960438,0.007138449002203506,0.0025919692708364916
2023-08-29,1032801.1059428303,1062161.901746755,0.005743039753653312,0.002473522871637268
2023-08-30,1036584.8020742274,1063056.614681551,0.0036635283498684945,0.0008423508067127994
2023-08-31,1034188.9978897789,1057402.0719486848,-0.002311247646747616,-0.005319136022271187
2023-09-01,1051333.9621407315,1067210.7926468363,0.01657817312496679,0.009276245014420148
2023-09-04,1058654.1244812277,1072857.1625211635,0.00696273744033804,0.0052907728381601515
2023-09-05,1061166.5455617553,1075373.3275750526,0.0023732218317844556,0.00234529361576552
2023-09-06,1062632.617031782,1077963.9086566917,0.0013815658589675373,0.0024090062634161136
2023-09-07,1069304.615977259,1084144.3103139754,0.006278744731282204,0.005733403138687088
2023-09-08,1081174.7037984908,1089584.2079725806,0.011100754306932137,0.005017687780909608
2023-09-11,1085959.7285736257,1099577.4632135336,0.0044257646412957374,0.009171622686738212
2023-09-12,1059448.1061638044,1095965.4898897437,-0.02441308062559877,-0.0032848739125971305
2023-09-13,1067966.0894728985,1099962.878016215,0.008040019383240171,0.003647366786041273
2023-09-14,1072646.094409212,1102550.6631199329,0.004382166233970253,0.002352611306651431
2023-09-15,1070371.5676396745,1107153.5955415766,-0.002120482031671589,0.004174803549270578
2023-09-18,1071116.891259477,1104276.7493358476,0.0006963223261302609,-0.0025984165316482732
2023-09-20,1062981.7871211807,1091968.2093008852,-0.007594973251454085,-0.011146245759828921
2023-09-21,1054667.239218718,1083279.9229858636,-0.007821910030068047,-0.007956537782893958
2023-09-22,1050087.7071350873,1079943.2459497033,-0.004342158278304975,-0.0030801614295254964
2023-09-25,1053703.4574145605,1079538.5819144102,0.0034432840751348337,-0.0003747086125226451
2023-09-26,1054112.753878084,1079494.599030957,0.0003884361018684501,-4.0742298783924547e-05
2023-09-27,1054651.3625637274,1082186.9106938844,0.0005109592722998268,0.002494048293844253
2023-09-28,1043612.684013172,1070993.4281614337,-0.010466661251659182,-0.01034339116638694
2023-09-29,1060183.6128286985,1077897.8805627055,0.015878427954520102,0.006446773826730867
